image_id,item_id,gender,category,view,split,row_in_captions,caption
MEN-Denim-id_00000080-01_7_additional,id_00000080,MEN,Denim,additional,train,0,The lower clothing is of long length. The fabric is cotton and it has plaid patterns.
MEN-Denim-id_00000089-01_7_additional,id_00000089,MEN,Denim,additional,train,1,"His tank top has sleeves cut off, cotton fabric and pure color patterns. The neckline of it is round. The pants this man wears is of long length. The pants are with cotton fabric and pure color patterns."
MEN-Denim-id_00000089-02_7_additional,id_00000089,MEN,Denim,additional,train,2,"His sweater has long sleeves, cotton fabric and stripe patterns. The neckline of it is lapel. The gentleman wears a long pants. The pants are with cotton fabric and solid color patterns."
MEN-Denim-id_00000089-03_7_additional,id_00000089,MEN,Denim,additional,train,3,"His shirt has short sleeves, cotton fabric and pure color patterns. It has a crew neckline. The person wears a long pants. The pants are with cotton fabric and solid color patterns."
MEN-Denim-id_00000089-04_7_additional,id_00000089,MEN,Denim,additional,train,4,"The sweater the person wears has long sleeves, its fabric is denim, and it has solid color patterns. The sweater has a lapel neckline. The person wears a long pants, with cotton fabric and solid color patterns."
MEN-Denim-id_00000089-05_7_additional,id_00000089,MEN,Denim,additional,train,5,The person wears a short-sleeve T-shirt with solid color patterns and long pants. The T-shirt is with cotton fabric and it has a round neckline. The pants are with cotton fabric and pure color patterns.
MEN-Denim-id_00000089-08_4_full,id_00000089,MEN,Denim,full,train,6,This man is wearing a long-sleeve sweater with plaid patterns. The sweater is with cotton fabric and its neckline is lapel. This man wears a long pants. The pants are with cotton fabric and pure color patterns. The outer clothing is with denim fabric and solid color patterns.
MEN-Denim-id_00000089-15_4_full,id_00000089,MEN,Denim,full,train,7,"The upper clothing has short sleeves, cotton fabric and solid color patterns. The neckline of it is lapel. The lower clothing is of long length. The fabric is cotton and it has solid color patterns. There is an accessory on his wrist."
MEN-Denim-id_00000089-17_4_full,id_00000089,MEN,Denim,full,train,8,The gentleman wears a tank tank top with pure color patterns. The tank top is with cotton fabric. It has a square neckline. The gentleman wears a long pants. The pants are with cotton fabric and solid color patterns.
MEN-Denim-id_00000089-18_4_full,id_00000089,MEN,Denim,full,train,9,This guy wears a long-sleeve shirt with solid color patterns and a long trousers. The shirt is with cotton fabric. The neckline of the shirt is round. The trousers are with cotton fabric and solid color patterns.
MEN-Denim-id_00000089-26_7_additional,id_00000089,MEN,Denim,additional,train,10,"The upper clothing has medium sleeves, cotton fabric and pure color patterns. It has a lapel neckline. The lower clothing is of long length. The fabric is cotton and it has solid color patterns."
MEN-Denim-id_00000089-27_7_additional,id_00000089,MEN,Denim,additional,train,11,"His shirt has medium sleeves, cotton fabric and pure color patterns. It has a lapel neckline. The guy wears a long trousers. The trousers are with cotton fabric and pure color patterns."
MEN-Denim-id_00000089-28_1_front,id_00000089,MEN,Denim,front,train,12,This gentleman is wearing a medium-sleeve shirt with pure color patterns. The shirt is with cotton fabric and its neckline is lapel. This gentleman wears a long trousers. The trousers are with cotton fabric and solid color patterns.
