image_id,item_id,gender,category,view,split,row_in_captions,caption
MEN-Denim-id_00000182-01_7_additional,id_00000182,MEN,Denim,additional,query,17,This guy is wearing a short-sleeve T-shirt with pure color patterns. The T-shirt is with cotton fabric and its neckline is v-shape. The pants this guy wears is of long length. The pants are with cotton fabric and solid color patterns.
MEN-Denim-id_00002578-01_1_front,id_00002578,MEN,Denim,front,query,44,The person wears a tank tank top with solid color patterns. The tank top is with cotton fabric. It has a round neckline. The trousers the person wears is of long length. The trousers are with cotton fabric and lattice patterns.
MEN-Denim-id_00003074-01_1_front,id_00003074,MEN,Denim,front,query,49,This person is wearing a short-sleeve T-shirt with pure color patterns. The T-shirt is with cotton fabric and its neckline is round. This person wears a long trousers. The trousers are with cotton fabric and solid color patterns.
MEN-Denim-id_00003242-01_7_additional,id_00003242,MEN,Denim,additional,query,50,This guy is wearing a short-sleeve shirt with solid color patterns and a long pants. The shirt is with cotton fabric and its neckline is crew. The pants are with denim fabric and solid color patterns.
MEN-Denim-id_00003341-01_7_additional,id_00003341,MEN,Denim,additional,query,52,This person is wearing a short-sleeve shirt with pure color patterns. The shirt is with cotton fabric. It has a round neckline. This person wears a long trousers. The trousers are with denim fabric and lattice patterns.
MEN-Denim-id_00003570-01_7_additional,id_00003570,MEN,Denim,additional,query,53,This man wears a short-sleeve shirt with pure color patterns and long trousers. The shirt is with cotton fabric and it has a lapel neckline. The trousers are with cotton fabric and solid color patterns.
MEN-Denim-id_00003845-02_1_front,id_00003845,MEN,Denim,front,query,55,"The shirt this guy wears has short sleeves and its fabric is cotton. The pattern of it is pure color. It has a stand neckline. This guy wears a long trousers, with denim fabric and lattice patterns."
MEN-Denim-id_00004714-01_7_additional,id_00004714,MEN,Denim,additional,query,60,The gentleman is wearing a long-sleeve shirt with solid color patterns. The shirt is with cotton fabric and its neckline is round. The pants the gentleman wears is of long length. The pants are with denim fabric and solid color patterns.
MEN-Denim-id_00004807-01_7_additional,id_00004807,MEN,Denim,additional,query,61,"His shirt has short sleeves, cotton fabric and pure color patterns. It has a v-shape neckline. The pants this man wears is of long length. The pants are with denim fabric and pure color patterns."
MEN-Denim-id_00005608-01_7_additional,id_00005608,MEN,Denim,additional,query,66,This gentleman is wearing a short-sleeve shirt with pure color patterns. The shirt is with cotton fabric. It has a crew neckline. This gentleman wears a long pants. The pants are with denim fabric and plaid patterns.
MEN-Denim-id_00005724-01_7_additional,id_00005724,MEN,Denim,additional,query,68,The person is wearing a long-sleeve sweater with solid color patterns. The sweater is with cotton fabric. It has a lapel neckline. The person wears a long trousers. The trousers are with denim fabric and pure color patterns.
MEN-Denim-id_00005769-02_4_full,id_00005769,MEN,Denim,full,query,69,This guy is wearing a long-sleeve shirt with solid color patterns. The shirt is with cotton fabric. It has a round neckline. The pants this guy wears is of long length. The pants are with denim fabric and solid color patterns. The outer clothing is with cotton fabric and pure color patterns.
MEN-Denim-id_00007216-01_7_additional,id_00007216,MEN,Denim,additional,query,85,"The shirt this man wears has short sleeves and its fabric is cotton. The pattern of it is solid color. It has a crew neckline. This man wears a long trousers, with denim fabric and pure color patterns."
MEN-Denim-id_00007524-01_4_full,id_00007524,MEN,Denim,full,query,88,This person wears a tank tank shirt with graphic patterns and long trousers. The tank shirt is with cotton fabric and it has a v-shape neckline. The trousers are with denim fabric and complicated patterns. There is an accessory on his wrist.
MEN-Jackets_Vests-id_00000946-04_1_front,id_00000946,MEN,Jackets_Vests,front,query,108,"The upper clothing has long sleeves, cotton fabric and pure color patterns. The neckline of it is round. The lower clothing is of long length. The fabric is cotton and it has pure color patterns. This person also wears an outer clothing, with cotton fabric and solid color patterns."
MEN-Jackets_Vests-id_00002268-01_4_full,id_00002268,MEN,Jackets_Vests,full,query,114,The person wears a long-sleeve sweater with pure color patterns and a long pants. The sweater is with cotton fabric. The neckline of the sweater is stand. The pants are with cotton fabric and solid color patterns. The outer clothing the gentleman wears is with cotton fabric and solid color patterns.
MEN-Jackets_Vests-id_00003311-01_4_full,id_00003311,MEN,Jackets_Vests,full,query,124,"This person is wearing a long-sleeve sweater with solid color patterns. The sweater is with cotton fabric and its neckline is round. This person wears a long trousers. The trousers are with denim fabric and solid color patterns. This guy also wears an outer clothing, with leather fabric and pure color patterns."
MEN-Jackets_Vests-id_00004606-01_4_full,id_00004606,MEN,Jackets_Vests,full,query,141,The guy is wearing a long-sleeve shirt with pure color patterns and a long pants. The shirt is with cotton fabric. The neckline of the shirt is crew. The pants are with denim fabric and pure color patterns. The outer clothing is with leather fabric and complicated patterns.
MEN-Jackets_Vests-id_00004672-01_7_additional,id_00004672,MEN,Jackets_Vests,additional,query,143,This guy wears a long-sleeve shirt with pure color patterns and a long trousers. The shirt is with cotton fabric and its neckline is round. The trousers are with denim fabric and solid color patterns. The outer clothing the person wears is with leather fabric and pure color patterns.
MEN-Jackets_Vests-id_00006736-01_7_additional,id_00006736,MEN,Jackets_Vests,additional,query,165,"The sweater this gentleman wears has long sleeves, its fabric is cotton, and it has plaid patterns. This gentleman wears a long pants, with denim fabric and pure color patterns. The outer clothing the person wears is with denim fabric and solid color patterns. There is a hat in his head."
MEN-Jackets_Vests-id_00007247-01_7_additional,id_00007247,MEN,Jackets_Vests,additional,query,170,"His shirt has long sleeves, cotton fabric and graphic patterns. It has a crew neckline. The guy wears a long trousers. The trousers are with denim fabric and pure color patterns. The outer clothing this man wears is with denim fabric and solid color patterns."
MEN-Jackets_Vests-id_00007272-01_4_full,id_00007272,MEN,Jackets_Vests,full,query,171,"This man wears a long-sleeve sweater with other patterns. The sweater is with other fabric. This man wears a long trousers. The trousers are with cotton fabric and pure color patterns. The person also wears an outer clothing, with cotton fabric and graphic patterns."
MEN-Jackets_Vests-id_00007818-01_1_front,id_00007818,MEN,Jackets_Vests,front,query,182,"The sweater this gentleman wears has long sleeves and its fabric is other. The pattern of it is other. This gentleman wears a long pants, with cotton fabric and solid color patterns. The outer clothing is with cotton fabric and graphic patterns."
MEN-Pants-id_00000063-02_4_full,id_00000063,MEN,Pants,full,query,183,The person wears a short-sleeve shirt with solid color patterns and a long pants. The shirt is with cotton fabric and its neckline is round. The pants are with cotton fabric and pure color patterns. This gentleman is wearing socks in shoes. The guy wears a hat.
MEN-Pants-id_00000785-01_7_additional,id_00000785,MEN,Pants,additional,query,205,"The upper clothing has short sleeves, cotton fabric and solid color patterns. It has a crew neckline. The lower clothing is of long length. The fabric is cotton and it has graphic patterns."
MEN-Pants-id_00001092-02_2_side,id_00001092,MEN,Pants,side,query,211,"The upper clothing has sleeves cut off, cotton fabric and solid color patterns. It has a round neckline. The lower clothing is of long length. The fabric is cotton and it has solid color patterns. There is an accessory in his his neck."
MEN-Pants-id_00001092-03_1_front,id_00001092,MEN,Pants,front,query,212,This guy wears a short-sleeve T-shirt with pure color patterns and long trousers. The T-shirt is with cotton fabric and it has a crew neckline. The trousers are with cotton fabric and pure color patterns.
MEN-Pants-id_00001351-01_7_additional,id_00001351,MEN,Pants,additional,query,224,The guy wears a short-sleeve T-shirt with solid color patterns. The T-shirt is with cotton fabric. It has a round neckline. The guy wears a long pants. The pants are with cotton fabric and graphic patterns.
MEN-Pants-id_00001375-01_1_front,id_00001375,MEN,Pants,front,query,225,"The tank shirt the gentleman wears has no sleeves and its fabric is cotton. The pattern of it is color block. It has a crew neckline. The gentleman wears a long pants, with cotton fabric and pure color patterns."
MEN-Pants-id_00001375-03_7_additional,id_00001375,MEN,Pants,additional,query,226,"The sweater the gentleman wears has long sleeves, its fabric is cotton, and it has solid color patterns. The sweater has a crew neckline. The gentleman wears a long trousers, with cotton fabric and pure color patterns. This man also wears an outer clothing, with cotton fabric and pure color patterns."
MEN-Pants-id_00001573-01_1_front,id_00001573,MEN,Pants,front,query,235,This gentleman wears a sleeveless tank shirt with solid color patterns. The tank shirt is with cotton fabric. It has a round neckline. This gentleman wears a long pants. The pants are with cotton fabric and color block patterns.
MEN-Pants-id_00001591-01_7_additional,id_00001591,MEN,Pants,additional,query,236,This person wears a tank tank shirt with pure color patterns. The tank shirt is with cotton fabric. It has a round neckline. This person wears a three-quarter trousers. The trousers are with cotton fabric and graphic patterns.
MEN-Pants-id_00001611-01_7_additional,id_00001611,MEN,Pants,additional,query,237,The guy is wearing a short-sleeve shirt with solid color patterns. The shirt is with cotton fabric and its neckline is crew. The pants the guy wears is of long length. The pants are with cotton fabric and graphic patterns. This gentleman has a hat in his head.
MEN-Pants-id_00001617-01_7_additional,id_00001617,MEN,Pants,additional,query,238,"The person is wearing a long-sleeve shirt with pure color patterns and a long trousers. The shirt is with cotton fabric and its neckline is round. The trousers are with cotton fabric and pure color patterns. The person also wears an outer clothing, with cotton fabric and pure color patterns. This man is wearing a hat."
MEN-Pants-id_00001675-01_7_additional,id_00001675,MEN,Pants,additional,query,239,This gentleman is wearing a sleeveless tank shirt with solid color patterns. The tank shirt is with cotton fabric and its neckline is round. This gentleman wears a long pants. The pants are with cotton fabric and solid color patterns.
MEN-Pants-id_00002047-01_7_additional,id_00002047,MEN,Pants,additional,query,248,This person wears a short-sleeve T-shirt with pure color patterns and a long trousers. The T-shirt is with cotton fabric. The neckline of the T-shirt is lapel. The trousers are with cotton fabric and graphic patterns.
MEN-Pants-id_00002295-01_4_full,id_00002295,MEN,Pants,full,query,251,The guy is wearing a short-sleeve shirt with pure color patterns. The shirt is with cotton fabric. It has a crew neckline. The guy wears a long trousers. The trousers are with cotton fabric and solid color patterns.
MEN-Pants-id_00002295-03_7_additional,id_00002295,MEN,Pants,additional,query,252,This person is wearing a long-sleeve sweater with solid color patterns. The sweater is with cotton fabric and its neckline is round. This person wears a long pants. The pants are with cotton fabric and pure color patterns.
MEN-Pants-id_00003290-01_7_additional,id_00003290,MEN,Pants,additional,query,272,The gentleman is wearing a long-sleeve sweater with graphic patterns. The sweater is with cotton fabric and its neckline is round. The gentleman wears a long pants. The pants are with cotton fabric and color block patterns.
MEN-Pants-id_00003301-01_7_additional,id_00003301,MEN,Pants,additional,query,273,This person is wearing a long-sleeve sweater with solid color patterns. The sweater is with cotton fabric. It has a round neckline. This person wears a long trousers. The trousers are with cotton fabric and solid color patterns.
MEN-Pants-id_00003301-02_7_additional,id_00003301,MEN,Pants,additional,query,274,"His shirt has long sleeves, cotton fabric and solid color patterns. It has a round neckline. The pants this gentleman wears is of long length. The pants are with cotton fabric and solid color patterns. The outer clothing this gentleman wears is with leather fabric and pure color patterns."
MEN-Pants-id_00003461-01_7_additional,id_00003461,MEN,Pants,additional,query,277,"The T-shirt the guy wears has short sleeves, its fabric is cotton, and it has graphic patterns. The T-shirt has a round neckline. The guy wears a long pants, with cotton fabric and graphic patterns. This man wears a hat."
MEN-Pants-id_00003462-01_7_additional,id_00003462,MEN,Pants,additional,query,278,This guy is wearing a long-sleeve sweater with graphic patterns. The sweater is with cotton fabric and its neckline is crew. This guy wears a long trousers. The trousers are with cotton fabric and graphic patterns. This person has a hat in his head.
MEN-Pants-id_00003564-01_4_full,id_00003564,MEN,Pants,full,query,281,This guy is wearing a short-sleeve shirt with pure color patterns and a long trousers. The shirt is with cotton fabric. The neckline of the shirt is crew. The trousers are with cotton fabric and graphic patterns.
MEN-Pants-id_00004359-01_1_front,id_00004359,MEN,Pants,front,query,305,This gentleman wears a long-sleeve shirt with pure color patterns and long pants. The shirt is with cotton fabric and it has a v-shape neckline. The pants are with cotton fabric and graphic patterns. There is an accessory on his wrist.
MEN-Pants-id_00004555-01_7_additional,id_00004555,MEN,Pants,additional,query,306,"The T-shirt this person wears has short sleeves and it is with cotton fabric and solid color patterns. The neckline of the T-shirt is round. This person wears a long pants, with cotton fabric and pure color patterns. This man has a hat in his head."
MEN-Pants-id_00005132-01_7_additional,id_00005132,MEN,Pants,additional,query,313,This gentleman wears a short-sleeve T-shirt with solid color patterns and a long pants. The T-shirt is with cotton fabric. The neckline of the T-shirt is crew. The pants are with cotton fabric and graphic patterns.
MEN-Pants-id_00005256-01_7_additional,id_00005256,MEN,Pants,additional,query,322,"His sweater has long sleeves, cotton fabric and solid color patterns. It has a crew neckline. The pants the gentleman wears is of long length. The pants are with cotton fabric and graphic patterns. The guy also wears an outer clothing, with cotton fabric and graphic patterns."
