image_id,item_id,gender,category,view,split,row_in_captions,caption
MEN-Denim-id_00000265-01_2_side,id_00000265,MEN,Denim,side,gallery,18,"His T-shirt has short sleeves, cotton fabric and pure color patterns. It has a round neckline. The shorts the guy wears is of medium length. The shorts are with cotton fabric and solid color patterns. The gentleman has a hat in his head."
MEN-Denim-id_00000313-01_1_front,id_00000313,MEN,Denim,front,gallery,19,The gentleman is wearing a short-sleeve T-shirt with lattice patterns. The T-shirt is with cotton fabric. It has a lapel neckline. The gentleman wears a long pants. The pants are with denim fabric and pure color patterns.
MEN-Denim-id_00000353-01_7_additional,id_00000353,MEN,Denim,additional,gallery,20,The gentleman is wearing a long-sleeve shirt with solid color patterns and a long trousers. The shirt is with cotton fabric. The neckline of the shirt is round. The trousers are with denim fabric and solid color patterns. The outer clothing this guy wears is with cotton fabric and solid color patterns. There is a hat in his head.
MEN-Denim-id_00000826-01_1_front,id_00000826,MEN,Denim,front,gallery,25,"The T-shirt this gentleman wears has short sleeves and its fabric is cotton. The pattern of it is solid color. It has a v-shape neckline. This gentleman wears a long trousers, with cotton fabric and solid color patterns."
MEN-Denim-id_00000826-02_7_additional,id_00000826,MEN,Denim,additional,gallery,26,"The shirt this guy wears has medium sleeves, its fabric is cotton, and it has solid color patterns. The shirt has a round neckline. This guy wears a long trousers, with cotton fabric and solid color patterns."
MEN-Denim-id_00000826-03_1_front,id_00000826,MEN,Denim,front,gallery,27,"The upper clothing has short sleeves, cotton fabric and solid color patterns. The neckline of it is crew. The lower clothing is of long length. The fabric is denim and it has solid color patterns."
MEN-Denim-id_00000867-01_1_front,id_00000867,MEN,Denim,front,gallery,29,"His T-shirt has short sleeves, cotton fabric and pure color patterns. The neckline of it is round. This man wears a long trousers. The trousers are with denim fabric and complicated patterns."
MEN-Denim-id_00000938-02_1_front,id_00000938,MEN,Denim,front,gallery,30,"His shirt has long sleeves, cotton fabric and striped patterns. The neckline of it is round. The trousers this person wears is of long length. The trousers are with cotton fabric and solid color patterns. The outer clothing is with leather fabric and solid color patterns. There is an accessory on his wrist."
MEN-Denim-id_00000938-05_1_front,id_00000938,MEN,Denim,front,gallery,32,The gentleman is wearing a short-sleeve shirt with pure color patterns. The shirt is with denim fabric. It has a lapel neckline. The trousers the gentleman wears is of long length. The trousers are with cotton fabric and plaid patterns.
MEN-Denim-id_00001198-02_7_additional,id_00001198,MEN,Denim,additional,gallery,34,The gentleman wears a long-sleeve sweater with pure color patterns and long trousers. The sweater is with cotton fabric and it has a stand neckline. The trousers are with cotton fabric and plaid patterns.
MEN-Denim-id_00001223-01_4_full,id_00001223,MEN,Denim,full,gallery,37,"The shirt this gentleman wears has long sleeves and it is with cotton fabric and pure color patterns. The neckline of the shirt is crew. This gentleman wears a long trousers, with denim fabric and lattice patterns. This man also wears an outer clothing, with cotton fabric and solid color patterns. The person wears a belt."
MEN-Denim-id_00002476-01_1_front,id_00002476,MEN,Denim,front,gallery,41,"The upper clothing has long sleeves, cotton fabric and solid color patterns. It has a crew neckline. The lower clothing is of long length. The fabric is denim and it has lattice patterns."
MEN-Denim-id_00002559-01_4_full,id_00002559,MEN,Denim,full,gallery,42,This man wears a short-sleeve shirt with pure color patterns and a long pants. The shirt is with cotton fabric. The neckline of the shirt is round. The pants are with denim fabric and lattice patterns.
MEN-Denim-id_00002760-01_4_full,id_00002760,MEN,Denim,full,gallery,47,The person is wearing a long-sleeve sweater with solid color patterns. The sweater is with cotton fabric and its neckline is crew. The person wears a long trousers. The trousers are with denim fabric and pure color patterns. The gentleman wears sunglasses. There is an accessory on his wrist.
MEN-Denim-id_00002760-04_4_full,id_00002760,MEN,Denim,full,gallery,48,The guy wears a long-sleeve shirt with lattice patterns. The shirt is with cotton fabric. It has a lapel neckline. The guy wears a long pants. The pants are with denim fabric and lattice patterns. The guy wears a hat.
MEN-Denim-id_00003252-01_1_front,id_00003252,MEN,Denim,front,gallery,51,"The upper clothing has short sleeves, cotton fabric and pure color patterns. It has a crew neckline. The lower clothing is of long length. The fabric is cotton and it has plaid patterns."
MEN-Denim-id_00003734-01_1_front,id_00003734,MEN,Denim,front,gallery,54,The person is wearing a long-sleeve sweater with stripe patterns and a long pants. The sweater is with knitting fabric. The neckline of the sweater is round. The pants are with denim fabric and solid color patterns.
MEN-Denim-id_00004051-01_4_full,id_00004051,MEN,Denim,full,gallery,58,This gentleman wears a short-sleeve shirt with pure color patterns. The shirt is with cotton fabric. It has a crew neckline. The pants this gentleman wears is of long length. The pants are with denim fabric and pure color patterns.
MEN-Denim-id_00005887-02_7_additional,id_00005887,MEN,Denim,additional,gallery,72,The gentleman is wearing a short-sleeve shirt with pure color patterns. The shirt is with cotton fabric and its neckline is crew. The trousers the gentleman wears is of long length. The trousers are with denim fabric and solid color patterns.
MEN-Denim-id_00006034-01_4_full,id_00006034,MEN,Denim,full,gallery,74,The gentleman is wearing a long-sleeve sweater with solid color patterns. The sweater is with cotton fabric. It has a round neckline. The gentleman wears a long pants. The pants are with denim fabric and solid color patterns. The outer clothing is with denim fabric and solid color patterns. There is an accessory on his wrist.
MEN-Denim-id_00007570-01_1_front,id_00007570,MEN,Denim,front,gallery,89,The person wears a long-sleeve shirt with color block patterns and long trousers. The shirt is with cotton fabric and it has a lapel neckline. The trousers are with denim fabric and solid color patterns.
MEN-Denim-id_00007607-01_1_front,id_00007607,MEN,Denim,front,gallery,90,"The sweater this gentleman wears has long sleeves and its fabric is cotton. The pattern of it is pure color. It has a round neckline. This gentleman wears a long trousers, with denim fabric and lattice patterns."
MEN-Jackets_Vests-id_00000084-07_7_additional,id_00000084,MEN,Jackets_Vests,additional,gallery,93,This man is wearing a long-sleeve sweater with pure color patterns and a long trousers. The sweater is with cotton fabric and its neckline is crew. The trousers are with cotton fabric and plaid patterns.
MEN-Jackets_Vests-id_00000094-04_7_additional,id_00000094,MEN,Jackets_Vests,additional,gallery,97,"His sweater has long sleeves, cotton fabric and pure color patterns. It has a lapel neckline. The pants this person wears is of long length. The pants are with cotton fabric and pure color patterns. The outer clothing is with cotton fabric and solid color patterns."
MEN-Jackets_Vests-id_00000393-01_4_full,id_00000393,MEN,Jackets_Vests,full,gallery,100,"His sweater has long sleeves, cotton fabric and plaid patterns. It has a crew neckline. The trousers the guy wears is of long length. The trousers are with cotton fabric and solid color patterns. This guy also wears an outer clothing, with cotton fabric and solid color patterns."
MEN-Jackets_Vests-id_00000653-01_1_front,id_00000653,MEN,Jackets_Vests,front,gallery,101,This person wears a long-sleeve shirt with solid color patterns and long pants. The shirt is with cotton fabric. The pants are with cotton fabric and plaid patterns. The outer clothing is with cotton fabric and solid color patterns. There is an accessory on his wrist. This guy is wearing a ring on his finger. This guy wears a hat.
MEN-Jackets_Vests-id_00000653-02_4_full,id_00000653,MEN,Jackets_Vests,full,gallery,102,"This gentleman wears a long-sleeve sweater with pure color patterns and a long pants. The sweater is with cotton fabric. The neckline of the sweater is lapel. The pants are with denim fabric and solid color patterns. The gentleman also wears an outer clothing, with cotton fabric and pure color patterns. There is an accessory on his wrist. This man wears a hat. This person is wearing a ring on his finger."
MEN-Jackets_Vests-id_00000653-04_4_full,id_00000653,MEN,Jackets_Vests,full,gallery,103,"His sweater has long sleeves, cotton fabric and solid color patterns. The neckline of it is lapel. This guy wears a long pants. The pants are with denim fabric and pure color patterns. The outer clothing this gentleman wears is with cotton fabric and solid color patterns. There is an accessory on his wrist. The person wears a ring. There is a belt on his waist. The person has a hat in his head."
MEN-Jackets_Vests-id_00000763-01_4_full,id_00000763,MEN,Jackets_Vests,full,gallery,107,The person is wearing a long-sleeve sweater with solid color patterns. The sweater is with cotton fabric and its neckline is round. The person wears a long pants. The pants are with denim fabric and solid color patterns. The outer clothing this guy wears is with cotton fabric and graphic patterns. The gentleman is wearing a hat.
MEN-Jackets_Vests-id_00002439-04_4_full,id_00002439,MEN,Jackets_Vests,full,gallery,118,"His shirt has long sleeves, cotton fabric and solid color patterns. The neckline of it is lapel. The guy wears a long pants. The pants are with cotton fabric and solid color patterns. The outer clothing is with cotton fabric and pure color patterns."
MEN-Jackets_Vests-id_00004319-01_4_full,id_00004319,MEN,Jackets_Vests,full,gallery,136,"This man wears a long-sleeve shirt with solid color patterns and a long pants. The shirt is with cotton fabric. The neckline of the shirt is lapel. The pants are with denim fabric and solid color patterns. This guy also wears an outer clothing, with leather fabric and pure color patterns. There is an accessory on his wrist."
MEN-Jackets_Vests-id_00004319-03_4_full,id_00004319,MEN,Jackets_Vests,full,gallery,137,This man wears a long-sleeve shirt with solid color patterns and a long trousers. The shirt is with cotton fabric. The neckline of the shirt is round. The trousers are with denim fabric and pure color patterns. The outer clothing is with leather fabric and solid color patterns.
MEN-Jackets_Vests-id_00006299-01_4_full,id_00006299,MEN,Jackets_Vests,full,gallery,161,"The shirt this gentleman wears has long sleeves and it is with cotton fabric and pure color patterns. The neckline of the shirt is lapel. This gentleman wears a long trousers, with denim fabric and solid color patterns. The outer clothing is with leather fabric and solid color patterns. There is an accessory on his wrist. This gentleman has a hat in his head."
MEN-Jackets_Vests-id_00006299-03_4_full,id_00006299,MEN,Jackets_Vests,full,gallery,163,"The sweater the person wears has long sleeves and it is with cotton fabric and pure color patterns. The neckline of the sweater is lapel. The person wears a long pants, with denim fabric and solid color patterns. The outer clothing is with leather fabric and color block patterns. There is an accessory on his wrist."
MEN-Jackets_Vests-id_00006912-06_4_full,id_00006912,MEN,Jackets_Vests,full,gallery,166,"His sweater has long sleeves, cotton fabric and pure color patterns. It has a round neckline. This person wears a medium shorts. The shorts are with cotton fabric and solid color patterns. The gentleman also wears an outer clothing, with cotton fabric and solid color patterns."
MEN-Jackets_Vests-id_00006912-08_7_additional,id_00006912,MEN,Jackets_Vests,additional,gallery,167,"The gentleman is wearing a long-sleeve shirt with pure color patterns. The shirt is with cotton fabric and its neckline is round. The gentleman wears a short pants. The pants are with cotton fabric and pure color patterns. The guy also wears an outer clothing, with cotton fabric and pure color patterns."
MEN-Jackets_Vests-id_00007324-01_7_additional,id_00007324,MEN,Jackets_Vests,additional,gallery,172,The person is wearing a long-sleeve shirt with pure color patterns. The shirt is with cotton fabric and its neckline is round. The pants the person wears is of long length. The pants are with denim fabric and solid color patterns. The outer clothing is with leather fabric and color block patterns.
MEN-Jackets_Vests-id_00007569-01_4_full,id_00007569,MEN,Jackets_Vests,full,gallery,176,This man is wearing a long-sleeve sweater with solid color patterns. The sweater is with cotton fabric and its neckline is round. This man wears a long pants. The pants are with cotton fabric and pure color patterns. The outer clothing is with cotton fabric and pure color patterns.
MEN-Jackets_Vests-id_00007569-03_4_full,id_00007569,MEN,Jackets_Vests,full,gallery,177,"The upper clothing has long sleeves, cotton fabric and pure color patterns. It has a round neckline. The lower clothing is of long length. The fabric is denim and it has pure color patterns. The outer clothing this person wears is with cotton fabric and pure color patterns."
MEN-Jackets_Vests-id_00007800-01_4_full,id_00007800,MEN,Jackets_Vests,full,gallery,181,"The upper clothing has long sleeves, cotton fabric and solid color patterns. The neckline of it is crew. The lower clothing is of long length. The fabric is cotton and it has pure color patterns. The outer clothing the gentleman wears is with cotton fabric and solid color patterns."
MEN-Pants-id_00000256-02_4_full,id_00000256,MEN,Pants,full,gallery,192,The guy is wearing a sleeveless tank top with graphic patterns. The tank top is with cotton fabric. It has a crew neckline. The trousers the guy wears is of long length. The trousers are with cotton fabric and solid color patterns. The gentleman has neckwear.
MEN-Pants-id_00000470-01_1_front,id_00000470,MEN,Pants,front,gallery,200,This gentleman is wearing a long-sleeve sweater with other patterns and a long trousers. The sweater is with mixed fabric. The trousers are with cotton fabric and solid color patterns. The outer clothing this gentleman wears is with cotton fabric and color block patterns.
MEN-Pants-id_00000836-02_4_full,id_00000836,MEN,Pants,full,gallery,206,"His sweater has long sleeves, cotton fabric and striped patterns. The neckline of it is round. The trousers this guy wears is of long length. The trousers are with cotton fabric and solid color patterns. The outer clothing this gentleman wears is with cotton fabric and solid color patterns. There is an accessory on his wrist."
MEN-Pants-id_00000836-03_4_full,id_00000836,MEN,Pants,full,gallery,207,This guy wears a long-sleeve shirt with pure color patterns and a long trousers. The shirt is with cotton fabric. The neckline of the shirt is lapel. The trousers are with cotton fabric and solid color patterns. The gentleman wears a belt. There is an accessory on his wrist.
MEN-Pants-id_00000836-04_4_full,id_00000836,MEN,Pants,full,gallery,208,"His sweater has long sleeves, cotton fabric and pure color patterns. It has a crew neckline. This gentleman wears a long pants. The pants are with cotton fabric and solid color patterns. The outer clothing the person wears is with cotton fabric and solid color patterns. There is an accessory on his wrist."
MEN-Pants-id_00000844-01_1_front,id_00000844,MEN,Pants,front,gallery,209,"The shirt the person wears has short sleeves and its fabric is cotton. The pattern of it is solid color. It has a v-shape neckline. The person wears a long trousers, with cotton fabric and graphic patterns. There is an accessory on his wrist."
MEN-Pants-id_00001207-06_4_full,id_00001207,MEN,Pants,full,gallery,220,"The sweater this guy wears has long sleeves, its fabric is cotton, and it has solid color patterns. The sweater has a stand neckline. This guy wears a long trousers, with cotton fabric and pure color patterns."
MEN-Pants-id_00001468-03_7_additional,id_00001468,MEN,Pants,additional,gallery,227,This guy is wearing a short-sleeve shirt with solid color patterns. The shirt is with cotton fabric and its neckline is lapel. This guy wears a long pants. The pants are with cotton fabric and solid color patterns.
MEN-Pants-id_00001510-01_1_front,id_00001510,MEN,Pants,front,gallery,229,This man wears a long-sleeve sweater with pure color patterns and a long pants. The sweater is with cotton fabric and its neckline is round. The pants are with cotton fabric and solid color patterns. The outer clothing the person wears is with denim fabric and solid color patterns. There is an accessory on his wrist.
MEN-Pants-id_00001510-02_1_front,id_00001510,MEN,Pants,front,gallery,230,"The person is wearing a long-sleeve sweater with solid color patterns. The sweater is with cotton fabric. The pants the person wears is of long length. The pants are with cotton fabric and solid color patterns. The gentleman also wears an outer clothing, with cotton fabric and plaid patterns. There is an accessory on his wrist."
MEN-Pants-id_00001510-03_1_front,id_00001510,MEN,Pants,front,gallery,231,This person wears a long-sleeve shirt with solid color patterns and a long pants. The shirt is with cotton fabric. The neckline of the shirt is crew. The pants are with cotton fabric and solid color patterns. The outer clothing this gentleman wears is with denim fabric and pure color patterns. The gentleman wears a ring. There is an accessory on his wrist.
MEN-Pants-id_00001510-04_1_front,id_00001510,MEN,Pants,front,gallery,232,"The shirt this guy wears has long sleeves and it is with cotton fabric and pure color patterns. The neckline of the shirt is round. This guy wears a long pants, with cotton fabric and solid color patterns. The outer clothing is with denim fabric and solid color patterns. There is an accessory on his wrist. There is a ring on his finger."
MEN-Pants-id_00001510-05_1_front,id_00001510,MEN,Pants,front,gallery,233,"His sweater has long sleeves, cotton fabric and pure color patterns. It has a crew neckline. This person wears a long trousers. The trousers are with cotton fabric and solid color patterns. This guy also wears an outer clothing, with denim fabric and pure color patterns. There is an accessory on his wrist."
MEN-Pants-id_00001814-01_7_additional,id_00001814,MEN,Pants,additional,gallery,241,"The shirt this guy wears has long sleeves and its fabric is cotton. The pattern of it is pure color. It has a round neckline. This guy wears a long pants, with cotton fabric and pure color patterns. The outer clothing this gentleman wears is with cotton fabric and pure color patterns."
MEN-Pants-id_00002006-05_7_additional,id_00002006,MEN,Pants,additional,gallery,244,"The upper clothing has long sleeves, cotton fabric and solid color patterns. It has a lapel neckline. The lower clothing is of long length. The fabric is cotton and it has solid color patterns. This guy wears a hat."
MEN-Pants-id_00002006-06_7_additional,id_00002006,MEN,Pants,additional,gallery,245,This person is wearing a long-sleeve sweater with solid color patterns. The sweater is with cotton fabric and its neckline is lapel. The trousers this person wears is of long length. The trousers are with cotton fabric and pure color patterns. The gentleman is wearing a hat.
MEN-Pants-id_00002006-07_7_additional,id_00002006,MEN,Pants,additional,gallery,246,"His sweater has long sleeves, cotton fabric and pure color patterns. It has a lapel neckline. This guy wears a long trousers. The trousers are with cotton fabric and pure color patterns. There is a hat in his head."
