candidate,target,dataset_source,category,clean_caption,partition
B000FLD4AC,B005LUQ0FI,FashionIQ,toptee,has no sleeves and is light pink and pink,train
B007GO6I4K,B00AKPE8XU,FashionIQ,toptee,is sleeveless and has brighter colors and is much more colorful,train
B00A4LM6L6,B006R7HLOS,FashionIQ,toptee,it is a grey shirt with green letters and has pawn star on it,train
B003ZVIWL0,B00355BRZE,FashionIQ,toptee,brown and green in color and is lighter,train
B00FFGZ2JI,B00CA90III,FashionIQ,toptee,is lighter and has shorter sleeves and short sleeves yellow and grey stripes,train
B0096HNR1C,B00C3X89XC,FashionIQ,toptee,the shirt is loose fitting and is beige and has pinkish necklin,train
B00CC2IUZG,B0009I89QK,FashionIQ,toptee,is lighter and is much lighter in color,train
B00A4DOGUI,B004NEIFTW,FashionIQ,toptee,is female fitted with different logo and is more feminine and fun,train
B0098LVLV4,B004P4KT0I,FashionIQ,toptee,is pink with longer sleeves and is a 3 4 long sleeves,train
B00BRCLPJ0,B00AGC2MP8,FashionIQ,toptee,left longer sleeves not see through and has longer sleeves,train
B00ELMUDQO,B007LCPQMC,FashionIQ,toptee,is a lighter color and shirttail hem,train
B00EUUPAG0,B00AIIVM10,FashionIQ,toptee,is floral dressy like and is colorful and longer sleeves,train
B009IAQJRG,B00CDC2OB6,FashionIQ,toptee,is black with uneven design and it is black and has no collar,train
B00BXDTB4O,B00BN7J8OI,FashionIQ,toptee,is a grey buttoned vest and and has no sleeves,train
B006SF627Q,B005SH65WM,FashionIQ,toptee,has a shorter sleeve and is red and looser,train
B009S284XQ,B005FOFYXE,FashionIQ,toptee,the shirt is short sleeve and is black in color and is black and features white and black stripes,train
B000X1MC2U,B000EP103M,FashionIQ,toptee,has a different dog and has a white and black graphic detail,train
B0091J1GNQ,B00AJJ9XJQ,FashionIQ,toptee,is dark blue colored and has sleeves and has longer sleeves and is navy,train
B004KUUJHA,B001Q54LNA,FashionIQ,toptee,the shirt is green with white writing and is green with white image,train
B008C01WNO,B006STQH3Q,FashionIQ,toptee,is shorter sleeved and darker in color and is darker and has shorter sleeves,train
B00A9CBCWY,B009UST8VK,FashionIQ,toptee,is less wordy and has a red and blue flag graphic,train
B00BJU8UYI,B00D4FUXSM,FashionIQ,toptee,is a darker blue and sexier and is blue and has off shoulder,train
B008NFLQ6Q,B007HCAFH2,FashionIQ,toptee,has longer sleeves with leopard print and is sheer with an animal print,train
B00BI4T02G,B006G3BHG6,FashionIQ,toptee,is white colored and has longer sleeves and is long sleeved and has a lower neckline,train
B00CBBFRCM,B008SBEFYK,FashionIQ,toptee,is white and fitted and has both shoulders exposed,train
B006L1F72I,B00B72EMB8,FashionIQ,toptee,is a short sleeve solid black and is more plain and has short sleeves,train
B0010ZFN10,B00BQMGR58,FashionIQ,toptee,is white with some detailing and smaller arm hole white more ripples,train
B00C7CSURY,B00C7CTESI,FashionIQ,toptee,has horizontal stripes and has longer sleeves and is stripe coloured,train
B0046IB5PQ,B001GJ3T4I,FashionIQ,toptee,is suede and is more brown colored,train
B00BBW5A5Q,B002RNR1QY,FashionIQ,toptee,is black with sleeves and is a draker color and less revealing,train
B0051GLDKO,B00417RX5S,FashionIQ,toptee,has tie shoulder and less black and is black without sleeves,train
B00CFRY0FW,B000NRL2SE,FashionIQ,toptee,is paisley with no buttons and is colorful with a nice pattern,train
B006NKNNNM,B00DP3447O,FashionIQ,toptee,is blue and much more summery and is a blue shirt in similar style with darker borders,train
B008OGWITI,B0049MOEGG,FashionIQ,toptee,is darker and is pink with rounder neckline and cinched under bustline,train
B0025V86V2,B0025VCDWU,FashionIQ,toptee,is red and is pink only,train
B005T3YF5Y,B00B72HHJW,FashionIQ,toptee,has long sleeves and has longer sleeves,train
B00B44Y822,B00B44W04U,FashionIQ,toptee,has longer sleeves and is red with long sleeves,train
B007TKI08I,B007TKI1S2,FashionIQ,toptee,is pink and is pink,train
B00590I38M,B004GUTOO8,FashionIQ,toptee,is more flowing and floral and has more colors and longer sleeves,train
B00BQN1G4O,B00CSLLYG8,FashionIQ,toptee,the shirt is short sleeved and white in color and is white and more wide,train
B004NQUMV4,B000NFAY6W,FashionIQ,toptee,has long sleeves and is red and is red with longer sleeves,train
B00C3X7NZM,B002C4WWLC,FashionIQ,toptee,white longer babydoll style and is white and sleeveless,train
B0069VGMOM,B00AW8T5TC,FashionIQ,toptee,has longer sleeves with buttons and is 3 4 sleeve black button down,train
B008D36WCQ,B00AT6Q1GM,FashionIQ,toptee,is more whimsical and has no sleeves and has no sleeves,train
B0048PI0PK,B00DJM9V6K,FashionIQ,toptee,is solid black with long sleeves and long sleeve black,train
B005X8U09U,B007FOEVQS,FashionIQ,toptee,is darker and has white and black pattern,train
B008XOYB78,B00DHW2CO0,FashionIQ,toptee,is darker and is darker in color,train
B00AZP2X96,B00B11Z9TE,FashionIQ,toptee,is a pastel print with small shoulder straps and is less revealing,train
B007ZTC3LI,B006NFRPW2,FashionIQ,toptee,is brown with a different logo and is brown and pink logo,train
