image_id,product_id,dataset_source,category,clean_caption,path,partition
MEN-Denim-id_00000089-28_1_front,id_00000089,DeepFashion-MultiModal,MEN_Denim,this gentleman is wearing a medium sleeve shirt with pure color patterns the shirt is with cotton fabric and its neckline is lapel this gentleman wears a long trousers the trousers are with cotton fabric and solid color patterns,MEN-Denim-id_00000089-28_1_front.jpg,gallery
MEN-Denim-id_00000265-01_1_front,id_00000265,DeepFashion-MultiModal,MEN_Denim,this person is wearing a short sleeve shirt with solid color patterns the shirt is with cotton fabric it has a crew neckline the pants this person wears is of short length the pants are with cotton fabric and pure color patterns there is a hat in his head,MEN-Denim-id_00000265-01_1_front.jpg,gallery
MEN-Denim-id_00000313-01_1_front,id_00000313,DeepFashion-MultiModal,MEN_Denim,the gentleman is wearing a short sleeve t shirt with lattice patterns the t shirt is with cotton fabric it has a lapel neckline the gentleman wears a long pants the pants are with denim fabric and pure color patterns,MEN-Denim-id_00000313-01_1_front.jpg,gallery
MEN-Denim-id_00000516-01_1_front,id_00000516,DeepFashion-MultiModal,MEN_Denim,the person wears a sleeveless tank shirt with solid color patterns and long pants the tank shirt is with cotton fabric and it has a round neckline the pants are with denim fabric and pure color patterns,MEN-Denim-id_00000516-01_1_front.jpg,gallery
MEN-Denim-id_00000750-01_1_front,id_00000750,DeepFashion-MultiModal,MEN_Denim,his sweater has long sleeves cotton fabric and solid color patterns the neckline of it is round this gentleman wears a long trousers the trousers are with denim fabric and lattice patterns the outer clothing this man wears is with cotton fabric and pure color patterns,MEN-Denim-id_00000750-01_1_front.jpg,gallery
MEN-Denim-id_00000826-01_1_front,id_00000826,DeepFashion-MultiModal,MEN_Denim,the t shirt this gentleman wears has short sleeves and its fabric is cotton the pattern of it is solid color it has a v shape neckline this gentleman wears a long trousers with cotton fabric and solid color patterns,MEN-Denim-id_00000826-01_1_front.jpg,gallery
MEN-Denim-id_00000826-03_1_front,id_00000826,DeepFashion-MultiModal,MEN_Denim,the upper clothing has short sleeves cotton fabric and solid color patterns the neckline of it is crew the lower clothing is of long length the fabric is denim and it has solid color patterns,MEN-Denim-id_00000826-03_1_front.jpg,gallery
MEN-Denim-id_00000867-01_1_front,id_00000867,DeepFashion-MultiModal,MEN_Denim,his t shirt has short sleeves cotton fabric and pure color patterns the neckline of it is round this man wears a long trousers the trousers are with denim fabric and complicated patterns,MEN-Denim-id_00000867-01_1_front.jpg,gallery
MEN-Denim-id_00000938-02_1_front,id_00000938,DeepFashion-MultiModal,MEN_Denim,his shirt has long sleeves cotton fabric and striped patterns the neckline of it is round the trousers this person wears is of long length the trousers are with cotton fabric and solid color patterns the outer clothing is with leather fabric and solid color patterns there is an accessory on his wrist,MEN-Denim-id_00000938-02_1_front.jpg,gallery
MEN-Denim-id_00000938-05_1_front,id_00000938,DeepFashion-MultiModal,MEN_Denim,the gentleman is wearing a short sleeve shirt with pure color patterns the shirt is with denim fabric it has a lapel neckline the trousers the gentleman wears is of long length the trousers are with cotton fabric and plaid patterns,MEN-Denim-id_00000938-05_1_front.jpg,gallery
MEN-Denim-id_00002476-01_1_front,id_00002476,DeepFashion-MultiModal,MEN_Denim,the upper clothing has long sleeves cotton fabric and solid color patterns it has a crew neckline the lower clothing is of long length the fabric is denim and it has lattice patterns,MEN-Denim-id_00002476-01_1_front.jpg,gallery
MEN-Denim-id_00002578-01_1_front,id_00002578,DeepFashion-MultiModal,MEN_Denim,the person wears a tank tank top with solid color patterns the tank top is with cotton fabric it has a round neckline the trousers the person wears is of long length the trousers are with cotton fabric and lattice patterns,MEN-Denim-id_00002578-01_1_front.jpg,gallery
MEN-Denim-id_00002707-01_1_front,id_00002707,DeepFashion-MultiModal,MEN_Denim,his shirt has short sleeves cotton fabric and solid color patterns the neckline of it is crew the person wears a long pants the pants are with cotton fabric and pure color patterns,MEN-Denim-id_00002707-01_1_front.jpg,gallery
MEN-Denim-id_00002735-01_1_front,id_00002735,DeepFashion-MultiModal,MEN_Denim,the shirt this gentleman wears has long sleeves and it is with cotton fabric and solid color patterns the neckline of the shirt is crew this gentleman wears a long trousers with denim fabric and solid color patterns,MEN-Denim-id_00002735-01_1_front.jpg,gallery
MEN-Denim-id_00003074-01_1_front,id_00003074,DeepFashion-MultiModal,MEN_Denim,this person is wearing a short sleeve t shirt with pure color patterns the t shirt is with cotton fabric and its neckline is round this person wears a long trousers the trousers are with cotton fabric and solid color patterns,MEN-Denim-id_00003074-01_1_front.jpg,gallery
MEN-Denim-id_00003252-01_1_front,id_00003252,DeepFashion-MultiModal,MEN_Denim,the upper clothing has short sleeves cotton fabric and pure color patterns it has a crew neckline the lower clothing is of long length the fabric is cotton and it has plaid patterns,MEN-Denim-id_00003252-01_1_front.jpg,gallery
MEN-Denim-id_00003734-01_1_front,id_00003734,DeepFashion-MultiModal,MEN_Denim,the person is wearing a long sleeve sweater with stripe patterns and a long pants the sweater is with knitting fabric the neckline of the sweater is round the pants are with denim fabric and solid color patterns,MEN-Denim-id_00003734-01_1_front.jpg,gallery
MEN-Denim-id_00003845-02_1_front,id_00003845,DeepFashion-MultiModal,MEN_Denim,the shirt this guy wears has short sleeves and its fabric is cotton the pattern of it is pure color it has a stand neckline this guy wears a long trousers with denim fabric and lattice patterns,MEN-Denim-id_00003845-02_1_front.jpg,gallery
MEN-Denim-id_00006841-01_1_front,id_00006841,DeepFashion-MultiModal,MEN_Denim,the t shirt this gentleman wears has short sleeves its fabric is cotton and it has graphic patterns the t shirt has a round neckline this gentleman wears a long pants with denim fabric and solid color patterns,MEN-Denim-id_00006841-01_1_front.jpg,gallery
MEN-Denim-id_00006959-01_1_front,id_00006959,DeepFashion-MultiModal,MEN_Denim,this gentleman wears a medium sleeve shirt with pure color patterns and long trousers the shirt is with denim fabric and it has a lapel neckline the trousers are with denim fabric and lattice patterns,MEN-Denim-id_00006959-01_1_front.jpg,gallery
MEN-Denim-id_00007300-01_1_front,id_00007300,DeepFashion-MultiModal,MEN_Denim,his shirt has medium sleeves cotton fabric and striped patterns it has a round neckline this guy wears a long pants the pants are with cotton fabric and pure color patterns the outer clothing this person wears is with denim fabric and solid color patterns the guy is wearing a ring on his finger there is an accessory on his wrist,MEN-Denim-id_00007300-01_1_front.jpg,gallery
MEN-Denim-id_00007570-01_1_front,id_00007570,DeepFashion-MultiModal,MEN_Denim,the person wears a long sleeve shirt with color block patterns and long trousers the shirt is with cotton fabric and it has a lapel neckline the trousers are with denim fabric and solid color patterns,MEN-Denim-id_00007570-01_1_front.jpg,gallery
MEN-Denim-id_00007607-01_1_front,id_00007607,DeepFashion-MultiModal,MEN_Denim,the sweater this gentleman wears has long sleeves and its fabric is cotton the pattern of it is pure color it has a round neckline this gentleman wears a long trousers with denim fabric and lattice patterns,MEN-Denim-id_00007607-01_1_front.jpg,gallery
MEN-Jackets_Vests-id_00000084-04_1_front,id_00000084,DeepFashion-MultiModal,MEN_Jackets_Vests,the gentleman wears a long sleeve shirt with solid color patterns the shirt is with cotton fabric and its neckline is crew this person also wears an outer clothing with cotton fabric and color block patterns,MEN-Jackets_Vests-id_00000084-04_1_front.jpg,gallery
MEN-Jackets_Vests-id_00000084-05_1_front,id_00000084,DeepFashion-MultiModal,MEN_Jackets_Vests,this man wears a long sleeve shirt with pure color patterns the shirt is with cotton fabric it has a round neckline the trousers this man wears is of long length the trousers are with denim fabric and pure color patterns the guy also wears an outer clothing with cotton fabric and color block patterns there is clothing on his waist there is a hat in his head,MEN-Jackets_Vests-id_00000084-05_1_front.jpg,gallery
MEN-Jackets_Vests-id_00000084-07_1_front,id_00000084,DeepFashion-MultiModal,MEN_Jackets_Vests,the upper clothing has long sleeves cotton fabric and solid color patterns it has a crew neckline the outer clothing the person wears is with cotton fabric and color block patterns,MEN-Jackets_Vests-id_00000084-07_1_front.jpg,gallery
MEN-Jackets_Vests-id_00000084-08_1_front,id_00000084,DeepFashion-MultiModal,MEN_Jackets_Vests,this man is wearing a long sleeve shirt with pure color patterns the shirt is with cotton fabric and its neckline is crew,MEN-Jackets_Vests-id_00000084-08_1_front.jpg,query
MEN-Jackets_Vests-id_00000094-01_1_front,id_00000094,DeepFashion-MultiModal,MEN_Jackets_Vests,this person wears a long sleeve shirt with graphic patterns the shirt is with cotton fabric and its neckline is lapel the outer clothing this man wears is with cotton fabric and solid color patterns,MEN-Jackets_Vests-id_00000094-01_1_front.jpg,gallery
MEN-Jackets_Vests-id_00000094-04_1_front,id_00000094,DeepFashion-MultiModal,MEN_Jackets_Vests,this gentleman is wearing a long sleeve sweater with pure color patterns the sweater is with cotton fabric the neckline of the sweater is lapel,MEN-Jackets_Vests-id_00000094-04_1_front.jpg,gallery
MEN-Jackets_Vests-id_00000168-01_1_front,id_00000168,DeepFashion-MultiModal,MEN_Jackets_Vests,this gentleman wears a long sleeve sweater with pure color patterns the sweater is with cotton fabric it has a round neckline this guy also wears an outer clothing with cotton fabric and solid color patterns,MEN-Jackets_Vests-id_00000168-01_1_front.jpg,gallery
