image_id,item_id,gender,category,view,split,row_in_captions,caption
MEN-Denim-id_00000353-02_7_additional,id_00000353,MEN,Denim,additional,query,21,"His shirt has long sleeves, cotton fabric and pure color patterns. It has a lapel neckline. The trousers the gentleman wears is of long length. The trousers are with denim fabric and plaid patterns. The gentleman also wears an outer clothing, with denim fabric and pure color patterns. There is clothing on his waist."
MEN-Denim-id_00000826-04_7_additional,id_00000826,MEN,Denim,additional,query,28,"His tank shirt has sleeves cut off, cotton fabric and solid color patterns. It has a crew neckline. The trousers this person wears is of long length. The trousers are with denim fabric and lattice patterns."
MEN-Denim-id_00000938-03_7_additional,id_00000938,MEN,Denim,additional,query,31,This gentleman is wearing a short-sleeve T-shirt with pure color patterns. The T-shirt is with cotton fabric and its neckline is crew. The trousers this gentleman wears is of long length. The trousers are with cotton fabric and pure color patterns.
MEN-Denim-id_00001198-01_7_additional,id_00001198,MEN,Denim,additional,query,33,This person wears a long-sleeve sweater with pure color patterns. The sweater is with cotton fabric. It has a stand neckline. The pants this person wears is of long length. The pants are with cotton fabric and solid color patterns.
MEN-Denim-id_00001198-03_7_additional,id_00001198,MEN,Denim,additional,query,35,"The upper clothing has long sleeves, cotton fabric and pure color patterns. The neckline of it is stand. The lower clothing is of long length. The fabric is cotton and it has solid color patterns."
MEN-Denim-id_00001198-04_7_additional,id_00001198,MEN,Denim,additional,query,36,The guy wears a long-sleeve shirt with solid color patterns. The shirt is with cotton fabric. It has a stand neckline. The guy wears a long trousers. The trousers are with cotton fabric and lattice patterns.
MEN-Denim-id_00002559-03_7_additional,id_00002559,MEN,Denim,additional,query,43,This man wears a short-sleeve shirt with solid color patterns and a long trousers. The shirt is with cotton fabric. The neckline of the shirt is crew. The trousers are with denim fabric and solid color patterns.
MEN-Denim-id_00005887-01_7_additional,id_00005887,MEN,Denim,additional,query,71,The guy wears a short-sleeve T-shirt with pure color patterns. The T-shirt is with cotton fabric. It has a round neckline. The pants the guy wears is of long length. The pants are with cotton fabric and solid color patterns.
MEN-Denim-id_00005887-03_7_additional,id_00005887,MEN,Denim,additional,query,73,"The shirt the person wears has short sleeves, its fabric is cotton, and it has pure color patterns. The shirt has a crew neckline. The person wears a long trousers, with denim fabric and lattice patterns."
MEN-Jackets_Vests-id_00000084-04_4_full,id_00000084,MEN,Jackets_Vests,full,query,91,"The sweater this gentleman wears has long sleeves, its fabric is cotton, and it has pure color patterns. The sweater has a crew neckline. This gentleman wears a long trousers, with cotton fabric and pure color patterns. The outer clothing this person wears is with cotton fabric and color block patterns."
MEN-Jackets_Vests-id_00000084-05_1_front,id_00000084,MEN,Jackets_Vests,front,query,92,"This man wears a long-sleeve shirt with pure color patterns. The shirt is with cotton fabric. It has a round neckline. The trousers this man wears is of long length. The trousers are with denim fabric and pure color patterns. The guy also wears an outer clothing, with cotton fabric and color block patterns. There is clothing on his waist. There is a hat in his head."
MEN-Jackets_Vests-id_00000084-08_4_full,id_00000084,MEN,Jackets_Vests,full,query,94,"His shirt has long sleeves, cotton fabric and solid color patterns. The neckline of it is round. The trousers this man wears is of long length. The trousers are with cotton fabric and solid color patterns."
MEN-Jackets_Vests-id_00000094-01_4_full,id_00000094,MEN,Jackets_Vests,full,query,95,This person is wearing a long-sleeve shirt with graphic patterns and a long pants. The shirt is with cotton fabric and its neckline is lapel. The pants are with cotton fabric and pure color patterns. The outer clothing the guy wears is with cotton fabric and solid color patterns.
MEN-Jackets_Vests-id_00000094-02_7_additional,id_00000094,MEN,Jackets_Vests,additional,query,96,"This guy wears a long-sleeve shirt with solid color patterns. The shirt is with cotton fabric. It has a lapel neckline. This guy wears a long pants. The pants are with cotton fabric and solid color patterns. The guy also wears an outer clothing, with cotton fabric and solid color patterns. There is an accessory in his his neck."
MEN-Jackets_Vests-id_00002439-01_2_side,id_00002439,MEN,Jackets_Vests,side,query,116,"This guy is wearing a short-sleeve T-shirt with solid color patterns. The T-shirt is with cotton fabric. It has a crew neckline. The pants this guy wears is of long length. The pants are with cotton fabric and pure color patterns. This man also wears an outer clothing, with cotton fabric and pure color patterns."
MEN-Jackets_Vests-id_00002439-02_4_full,id_00002439,MEN,Jackets_Vests,full,query,117,"The upper clothing has long sleeves, cotton fabric and solid color patterns. The neckline of it is lapel. The lower clothing is of long length. The fabric is cotton and it has solid color patterns. The outer clothing the guy wears is with cotton fabric and pure color patterns. There is an accessory in his his neck."
MEN-Jackets_Vests-id_00006299-02_4_full,id_00006299,MEN,Jackets_Vests,full,query,162,This man wears a long-sleeve sweater with graphic patterns and a long trousers. The sweater is with cotton fabric. The neckline of the sweater is lapel. The trousers are with denim fabric and pure color patterns. The outer clothing is with leather fabric and color block patterns. There is an accessory on his wrist. There is a ring on his finger.
MEN-Jackets_Vests-id_00006912-09_4_full,id_00006912,MEN,Jackets_Vests,full,query,168,The gentleman is wearing a long-sleeve sweater with solid color patterns and a medium pants. The sweater is with cotton fabric and its neckline is crew. The pants are with cotton fabric and solid color patterns. The outer clothing this guy wears is with cotton fabric and solid color patterns.
MEN-Jackets_Vests-id_00007324-03_4_full,id_00007324,MEN,Jackets_Vests,full,query,173,"The sweater this guy wears has long sleeves and it is with cotton fabric and pure color patterns. The neckline of the sweater is crew. This guy wears a long trousers, with denim fabric and solid color patterns. This man also wears an outer clothing, with leather fabric and color block patterns."
MEN-Jackets_Vests-id_00007569-04_7_additional,id_00007569,MEN,Jackets_Vests,additional,query,178,"The upper clothing has long sleeves, cotton fabric and solid color patterns. The neckline of it is round. The lower clothing is of long length. The fabric is cotton and it has solid color patterns. The outer clothing is with cotton fabric and solid color patterns."
MEN-Pants-id_00000256-03_4_full,id_00000256,MEN,Pants,full,query,193,This guy is wearing a long-sleeve shirt with pure color patterns. The shirt is with cotton fabric and its neckline is crew. This guy wears a long pants. The pants are with cotton fabric and solid color patterns. The outer clothing is with cotton fabric and solid color patterns. There is an accessory on his wrist.
MEN-Pants-id_00000470-03_7_additional,id_00000470,MEN,Pants,additional,query,201,"His shirt has long sleeves, cotton fabric and solid color patterns. The neckline of it is crew. This gentleman wears a three-quarter pants. The pants are with cotton fabric and solid color patterns. There is an accessory on his wrist."
MEN-Pants-id_00001207-05_4_full,id_00001207,MEN,Pants,full,query,219,"The shirt this guy wears has long sleeves and it is with cotton fabric and solid color patterns. The neckline of the shirt is crew. This guy wears a long pants, with cotton fabric and pure color patterns. The outer clothing the guy wears is with leather fabric and solid color patterns."
MEN-Pants-id_00001207-07_4_full,id_00001207,MEN,Pants,full,query,221,"The sweater this man wears has long sleeves, its fabric is cotton, and it has solid color patterns. The sweater has a crew neckline. This man wears a long trousers, with cotton fabric and solid color patterns. This guy also wears an outer clothing, with denim fabric and solid color patterns."
MEN-Pants-id_00001468-04_7_additional,id_00001468,MEN,Pants,additional,query,228,This person is wearing a short-sleeve shirt with solid color patterns and a long pants. The shirt is with cotton fabric. The neckline of the shirt is lapel. The pants are with cotton fabric and solid color patterns.
MEN-Pants-id_00001814-02_7_additional,id_00001814,MEN,Pants,additional,query,242,"The upper clothing has short sleeves, cotton fabric and solid color patterns. The neckline of it is round. The lower clothing is of long length. The fabric is cotton and it has color block patterns."
MEN-Pants-id_00002006-04_7_additional,id_00002006,MEN,Pants,additional,query,243,The guy is wearing a long-sleeve shirt with pure color patterns. The shirt is with cotton fabric and its neckline is lapel. The trousers the guy wears is of long length. The trousers are with cotton fabric and pure color patterns. There is a hat in his head.
