vec_row,image_id,item_id,split,view,gender,product_type,category,row_in_captions,caption,clean_caption,text_only_input,fashion_clip_prompt
0,MEN-Denim-id_00000080-01_7_additional,id_00000080,train,additional,MEN,Denim,MEN_Denim,0,The lower clothing is of long length. The fabric is cotton and it has plaid patterns.,the lower clothing is of long length the fabric is cotton and it has plaid patterns,the lower clothing is of long length the fabric is cotton and it has plaid patterns,"a photo of a men denim, the lower clothing is of long length the fabric is cotton and it has plaid patterns"
1,MEN-Denim-id_00000089-01_7_additional,id_00000089,train,additional,MEN,Denim,MEN_Denim,1,"His tank top has sleeves cut off, cotton fabric and pure color patterns. The neckline of it is round. The pants this man wears is of long length. The pants are with cotton fabric and pure color patterns.",his tank top has sleeves cut off cotton fabric and pure color patterns the neckline of it is round the pants this man wears is of long length the pants are with cotton fabric and pure color patterns,his tank top has sleeves cut off cotton fabric and pure color patterns the neckline of it is round the pants this man wears is of long length the pants are with cotton fabric and pure color patterns,"a photo of a men denim, his tank top has sleeves cut off cotton fabric and pure color patterns the neckline of it is round the pants this man wears is of long length the pants are with cotton fabric and pure color patterns"
2,MEN-Denim-id_00000089-02_7_additional,id_00000089,train,additional,MEN,Denim,MEN_Denim,2,"His sweater has long sleeves, cotton fabric and stripe patterns. The neckline of it is lapel. The gentleman wears a long pants. The pants are with cotton fabric and solid color patterns.",his sweater has long sleeves cotton fabric and stripe patterns the neckline of it is lapel the gentleman wears a long pants the pants are with cotton fabric and solid color patterns,his sweater has long sleeves cotton fabric and stripe patterns the neckline of it is lapel the gentleman wears a long pants the pants are with cotton fabric and solid color patterns,"a photo of a men denim, his sweater has long sleeves cotton fabric and stripe patterns the neckline of it is lapel the gentleman wears a long pants the pants are with cotton fabric and solid color patterns"
3,MEN-Denim-id_00000089-03_7_additional,id_00000089,train,additional,MEN,Denim,MEN_Denim,3,"His shirt has short sleeves, cotton fabric and pure color patterns. It has a crew neckline. The person wears a long pants. The pants are with cotton fabric and solid color patterns.",his shirt has short sleeves cotton fabric and pure color patterns it has a crew neckline the person wears a long pants the pants are with cotton fabric and solid color patterns,his shirt has short sleeves cotton fabric and pure color patterns it has a crew neckline the person wears a long pants the pants are with cotton fabric and solid color patterns,"a photo of a men denim, his shirt has short sleeves cotton fabric and pure color patterns it has a crew neckline the person wears a long pants the pants are with cotton fabric and solid color patterns"
4,MEN-Denim-id_00000089-04_7_additional,id_00000089,train,additional,MEN,Denim,MEN_Denim,4,"The sweater the person wears has long sleeves, its fabric is denim, and it has solid color patterns. The sweater has a lapel neckline. The person wears a long pants, with cotton fabric and solid color patterns.",the sweater the person wears has long sleeves its fabric is denim and it has solid color patterns the sweater has a lapel neckline the person wears a long pants with cotton fabric and solid color patterns,the sweater the person wears has long sleeves its fabric is denim and it has solid color patterns the sweater has a lapel neckline the person wears a long pants with cotton fabric and solid color patterns,"a photo of a men denim, the sweater the person wears has long sleeves its fabric is denim and it has solid color patterns the sweater has a lapel neckline the person wears a long pants with cotton fabric and solid color patterns"
5,MEN-Denim-id_00000089-05_7_additional,id_00000089,train,additional,MEN,Denim,MEN_Denim,5,The person wears a short-sleeve T-shirt with solid color patterns and long pants. The T-shirt is with cotton fabric and it has a round neckline. The pants are with cotton fabric and pure color patterns.,the person wears a short sleeve t shirt with solid color patterns and long pants the t shirt is with cotton fabric and it has a round neckline the pants are with cotton fabric and pure color patterns,the person wears a short sleeve t shirt with solid color patterns and long pants the t shirt is with cotton fabric and it has a round neckline the pants are with cotton fabric and pure color patterns,"a photo of a men denim, the person wears a short sleeve t shirt with solid color patterns and long pants the t shirt is with cotton fabric and it has a round neckline the pants are with cotton fabric and pure color patterns"
6,MEN-Denim-id_00000089-08_4_full,id_00000089,train,full,MEN,Denim,MEN_Denim,6,This man is wearing a long-sleeve sweater with plaid patterns. The sweater is with cotton fabric and its neckline is lapel. This man wears a long pants. The pants are with cotton fabric and pure color patterns. The outer clothing is with denim fabric and solid color patterns.,this man is wearing a long sleeve sweater with plaid patterns the sweater is with cotton fabric and its neckline is lapel this man wears a long pants the pants are with cotton fabric and pure color patterns the outer clothing is with denim fabric and solid color patterns,this man is wearing a long sleeve sweater with plaid patterns the sweater is with cotton fabric and its neckline is lapel this man wears a long pants the pants are with cotton fabric and pure color patterns the outer clothing is with denim fabric and solid color patterns,"a photo of a men denim, this man is wearing a long sleeve sweater with plaid patterns the sweater is with cotton fabric and its neckline is lapel this man wears a long pants the pants are with cotton fabric and pure color patterns the outer clothing is with denim fabric and solid color patterns"
7,MEN-Denim-id_00000089-15_4_full,id_00000089,train,full,MEN,Denim,MEN_Denim,7,"The upper clothing has short sleeves, cotton fabric and solid color patterns. The neckline of it is lapel. The lower clothing is of long length. The fabric is cotton and it has solid color patterns. There is an accessory on his wrist.",the upper clothing has short sleeves cotton fabric and solid color patterns the neckline of it is lapel the lower clothing is of long length the fabric is cotton and it has solid color patterns there is an accessory on his wrist,the upper clothing has short sleeves cotton fabric and solid color patterns the neckline of it is lapel the lower clothing is of long length the fabric is cotton and it has solid color patterns there is an accessory on his wrist,"a photo of a men denim, the upper clothing has short sleeves cotton fabric and solid color patterns the neckline of it is lapel the lower clothing is of long length the fabric is cotton and it has solid color patterns there is an accessory on his wrist"
8,MEN-Denim-id_00000089-17_4_full,id_00000089,train,full,MEN,Denim,MEN_Denim,8,The gentleman wears a tank tank top with pure color patterns. The tank top is with cotton fabric. It has a square neckline. The gentleman wears a long pants. The pants are with cotton fabric and solid color patterns.,the gentleman wears a tank tank top with pure color patterns the tank top is with cotton fabric it has a square neckline the gentleman wears a long pants the pants are with cotton fabric and solid color patterns,the gentleman wears a tank tank top with pure color patterns the tank top is with cotton fabric it has a square neckline the gentleman wears a long pants the pants are with cotton fabric and solid color patterns,"a photo of a men denim, the gentleman wears a tank tank top with pure color patterns the tank top is with cotton fabric it has a square neckline the gentleman wears a long pants the pants are with cotton fabric and solid color patterns"
9,MEN-Denim-id_00000089-18_4_full,id_00000089,train,full,MEN,Denim,MEN_Denim,9,This guy wears a long-sleeve shirt with solid color patterns and a long trousers. The shirt is with cotton fabric. The neckline of the shirt is round. The trousers are with cotton fabric and solid color patterns.,this guy wears a long sleeve shirt with solid color patterns and a long trousers the shirt is with cotton fabric the neckline of the shirt is round the trousers are with cotton fabric and solid color patterns,this guy wears a long sleeve shirt with solid color patterns and a long trousers the shirt is with cotton fabric the neckline of the shirt is round the trousers are with cotton fabric and solid color patterns,"a photo of a men denim, this guy wears a long sleeve shirt with solid color patterns and a long trousers the shirt is with cotton fabric the neckline of the shirt is round the trousers are with cotton fabric and solid color patterns"
10,MEN-Denim-id_00000089-26_7_additional,id_00000089,train,additional,MEN,Denim,MEN_Denim,10,"The upper clothing has medium sleeves, cotton fabric and pure color patterns. It has a lapel neckline. The lower clothing is of long length. The fabric is cotton and it has solid color patterns.",the upper clothing has medium sleeves cotton fabric and pure color patterns it has a lapel neckline the lower clothing is of long length the fabric is cotton and it has solid color patterns,the upper clothing has medium sleeves cotton fabric and pure color patterns it has a lapel neckline the lower clothing is of long length the fabric is cotton and it has solid color patterns,"a photo of a men denim, the upper clothing has medium sleeves cotton fabric and pure color patterns it has a lapel neckline the lower clothing is of long length the fabric is cotton and it has solid color patterns"
11,MEN-Denim-id_00000089-27_7_additional,id_00000089,train,additional,MEN,Denim,MEN_Denim,11,"His shirt has medium sleeves, cotton fabric and pure color patterns. It has a lapel neckline. The guy wears a long trousers. The trousers are with cotton fabric and pure color patterns.",his shirt has medium sleeves cotton fabric and pure color patterns it has a lapel neckline the guy wears a long trousers the trousers are with cotton fabric and pure color patterns,his shirt has medium sleeves cotton fabric and pure color patterns it has a lapel neckline the guy wears a long trousers the trousers are with cotton fabric and pure color patterns,"a photo of a men denim, his shirt has medium sleeves cotton fabric and pure color patterns it has a lapel neckline the guy wears a long trousers the trousers are with cotton fabric and pure color patterns"
12,MEN-Denim-id_00000089-28_1_front,id_00000089,train,front,MEN,Denim,MEN_Denim,12,This gentleman is wearing a medium-sleeve shirt with pure color patterns. The shirt is with cotton fabric and its neckline is lapel. This gentleman wears a long trousers. The trousers are with cotton fabric and solid color patterns.,this gentleman is wearing a medium sleeve shirt with pure color patterns the shirt is with cotton fabric and its neckline is lapel this gentleman wears a long trousers the trousers are with cotton fabric and solid color patterns,this gentleman is wearing a medium sleeve shirt with pure color patterns the shirt is with cotton fabric and its neckline is lapel this gentleman wears a long trousers the trousers are with cotton fabric and solid color patterns,"a photo of a men denim, this gentleman is wearing a medium sleeve shirt with pure color patterns the shirt is with cotton fabric and its neckline is lapel this gentleman wears a long trousers the trousers are with cotton fabric and solid color patterns"
13,MEN-Denim-id_00000089-29_7_additional,id_00000089,train,additional,MEN,Denim,MEN_Denim,13,"His shirt has long sleeves, cotton fabric and solid color patterns. The neckline of it is round. The trousers this person wears is of long length. The trousers are with cotton fabric and solid color patterns.",his shirt has long sleeves cotton fabric and solid color patterns the neckline of it is round the trousers this person wears is of long length the trousers are with cotton fabric and solid color patterns,his shirt has long sleeves cotton fabric and solid color patterns the neckline of it is round the trousers this person wears is of long length the trousers are with cotton fabric and solid color patterns,"a photo of a men denim, his shirt has long sleeves cotton fabric and solid color patterns the neckline of it is round the trousers this person wears is of long length the trousers are with cotton fabric and solid color patterns"
14,MEN-Denim-id_00000089-44_7_additional,id_00000089,train,additional,MEN,Denim,MEN_Denim,14,This man is wearing a short-sleeve shirt with pure color patterns. The shirt is with cotton fabric and its neckline is lapel. The trousers this man wears is of long length. The trousers are with cotton fabric and solid color patterns.,this man is wearing a short sleeve shirt with pure color patterns the shirt is with cotton fabric and its neckline is lapel the trousers this man wears is of long length the trousers are with cotton fabric and solid color patterns,this man is wearing a short sleeve shirt with pure color patterns the shirt is with cotton fabric and its neckline is lapel the trousers this man wears is of long length the trousers are with cotton fabric and solid color patterns,"a photo of a men denim, this man is wearing a short sleeve shirt with pure color patterns the shirt is with cotton fabric and its neckline is lapel the trousers this man wears is of long length the trousers are with cotton fabric and solid color patterns"
15,MEN-Denim-id_00000089-45_7_additional,id_00000089,train,additional,MEN,Denim,MEN_Denim,15,"His T-shirt has short sleeves, cotton fabric and solid color patterns. The neckline of it is lapel. The trousers this man wears is of long length. The trousers are with cotton fabric and solid color patterns.",his t shirt has short sleeves cotton fabric and solid color patterns the neckline of it is lapel the trousers this man wears is of long length the trousers are with cotton fabric and solid color patterns,his t shirt has short sleeves cotton fabric and solid color patterns the neckline of it is lapel the trousers this man wears is of long length the trousers are with cotton fabric and solid color patterns,"a photo of a men denim, his t shirt has short sleeves cotton fabric and solid color patterns the neckline of it is lapel the trousers this man wears is of long length the trousers are with cotton fabric and solid color patterns"
16,MEN-Denim-id_00000089-46_7_additional,id_00000089,train,additional,MEN,Denim,MEN_Denim,16,This man wears a short-sleeve T-shirt with pure color patterns. The T-shirt is with cotton fabric. It has a lapel neckline. The trousers this man wears is of long length. The trousers are with cotton fabric and pure color patterns.,this man wears a short sleeve t shirt with pure color patterns the t shirt is with cotton fabric it has a lapel neckline the trousers this man wears is of long length the trousers are with cotton fabric and pure color patterns,this man wears a short sleeve t shirt with pure color patterns the t shirt is with cotton fabric it has a lapel neckline the trousers this man wears is of long length the trousers are with cotton fabric and pure color patterns,"a photo of a men denim, this man wears a short sleeve t shirt with pure color patterns the t shirt is with cotton fabric it has a lapel neckline the trousers this man wears is of long length the trousers are with cotton fabric and pure color patterns"
